010	Shigellosis and amebiasis
020	Certain other intestinal infections
040	Tuberculosis of respiratory system
050	Other tuberculosis
060	Whooping cough
070	Streptococcal sore throat, scarlatina, and erysipelas
080	Meningococcal infection
090	Septicemia
100	Acute poliomyelitis
110	Measles
120	Viral hepatitis
130	Syphilis
140	All other infetious and parasitic diseases
160	Malignant neoplasms of lip, oral cavity, and pharynx
170	Malignant neoplasms of digestive organs and peritoneum
180	Malignant neoplasms of respiratory and intrathoracic organs
190	Malignant neoplasm of breast
200	Malignant neoplasms of genital organs
210	Malignant neoplasms of all other and unspecified sites
220	Malignant neoplasms of all other and unspecified sites
230	Leukemia
240	Other malignant neoplasms of lymphatic and hemattopoietic tissues
250	Benign neoplasms, carcinoma in situ, and neoplasms of uncertain behavior and unspecified nature
260	Diabetes mellitus
270	Nutritional deficiencies
280	Anemias
290	Meningitis
320	Rheumatic fever and rheumatic heart disease
330	Hypertensive heart disease
340	Hypertensive heart and renal disease
360	Acute myocardial infarction
370	Other acute and subacute forms of ischemic heart disease
380	Angina pectoris
390	Old myocardial infarction and other forms of chronic ischemic heart disease
400	Other disease of endocardium
410	All other forms of heart disease
420	Hypertension with or without renal disease
440	Intracerebral and other intracranial hemorrhage
450	Cerebal thrombosis and unspecified occlusion of cerebral arteries
460	Cerebral embolism
470	All other and late effects of cerebrovascular diseases
480	Artherosclerosis
490	Other diseases of arteries, arterioles, and capillaries
500	Acute bronchitis and bronchiolitis
520	Pneumonia
530	Influenza
550	Bronchitis, chronic and unspecified
560	Emphysema
570	Asthma
580	Other chronic obstructive pulmonary diseases and allied conditions
590	Ulcer of stomach and duodenum
600	Appendicitis
610	Hernia of abdominal cavity and intestinal obstruction without mention of hernia
620	Chronic liver disease and cirrhosis
630	Cholelithiasis and other disorders of gallbladder
650	Acute glomerulonephritis and nephrotic syndrome
660	Chronic glomerulonephritis, nephritis and nephropathy, not specified as acute or chronic, and renal sclerosis, unspecified
670	Renal failure, disorders resulting from impaired renal function, and small kidney of unknown cause
680	Infections of kidney
690	Hyperplasia of prostate
710	Pregnancy with abortive outcome
720	Other complications of pregnancy, childbirth, and the puerperium
730	Congenital anomalies
750	Birth trauma, intrauterine hypoxia, birth asphyxia, and respiratory distress syndrome
760	Other conditions originating in the perinatal peroid
770	Symptoms, signs, and ill-defined conditions
780	All other diseases
800	Motor vehicle accidents
810	All other accidents and adverse effects
820	Suicide
830	Homicide and legal intervention
840	All other external causes
