010	Bacillary dysentery and amebiasis
020	Enteritis and other diarrheal diseases
040	Tuberculosis of respiratory system
050	Tuberculosis, other forms
060	Whooping cough
070	Streptococcal sore throat and scarlet fever
080	Meningococcal infections
090	Septicemia
100	Acute poliomyelitis
110	Measles
120	Syphilis and its sequelae
130	Other infective and parasitic diseases
150	Malignant neoplasms of buccal cavity and pharynx
160	Malignant neoplasms of digestive organs and peritoneum
170	Malignant neoplasms of respiratory system
180	Malignant neoplasms of breast
190	Malignant neoplasms of genital organs
200	Malignant neoplasms of urinary organs
210	Malignant neoplasms of all other and unspecified sites
220	Leukemia
230	Other neoplasms of lymphatic and hematopoietic tissues
240	Benign neoplasms and neoplasms of unspecified nature
250	Diabetes mellitis
260	Avitaminoses and other nutritional deficiencies
270	Anemias
280	Meningitis
310	Active rheumatic fever and chronic rheumatic heart disease
320	Hypertensive heart disease
330	Hypertensive heart and renal disease
350	Acute myocardial infarction
360	Other acute and subacute forms of ischemic heart disease
370	Chronic ischemic heart disease
380	Angina pectoris
390	Chronic diseases of endocardium and other myocardial insufficiencies
400	All other forms of heart disease
410	Hypertension
430	Cerebral hemorrhage
440	Cerebral thrombosis
450	Cerebral embolism
460	All other cerebrovascular accidents
470	Atherosclerosis
480	Other diseases of arteries, arterioles, and capillaries
490	Acute bronchitis and bronchiolitis
510	Influenza
520	Pneumonia
540	Chronic and unqualified bronchitis
550	Emphysema
560	Asthma
570	Peptic ulcer
580	Appendictis
590	Hernia and intestinal obstruction
600	Cirrhosis of liver
610	Cholelithiasis, cholecystitis, and cholangitis
630	Acute nephritis and nephrotic syndrome
640	Chronic and unspecified nephritis and renal sclerosis
650	Infections of kidney
660	Hyperplasia of prostate
680	Abortions
690	Other complications of pregnancy, childbirth, and the puerperium
700	Congenital anomalies
720	Birth injuries, difficult labor, and other anoxic and hypoxic conditions
730	Other causes of mortality in early infancy
740	Symptoms and ill-defined conditions
750	All other diseases
770	Motor vehicle accidents
780	All other accidents
790	Suicide
800	Homicide
810	Other external causes
