State	State Code	Year	Race	Gender	Age Group	Population
Alabama	01	1999	Black	Female	< 1 year	9152
Alabama	01	1999	Black	Female	1-4 years	37909
Alabama	01	1999	Black	Female	5-9 years	51751
Alabama	01	1999	Black	Female	10-14 years	50789
Alabama	01	1999	Black	Female	15-19 years	54849
Alabama	01	1999	Black	Female	20-24 years	50307
Alabama	01	1999	Black	Female	25-34 years	87542
Alabama	01	1999	Black	Female	35-44 years	96322
Alabama	01	1999	Black	Female	45-54 years	72132
Alabama	01	1999	Black	Female	55-64 years	42806
Alabama	01	1999	Black	Female	65-74 years	35584
Alabama	01	1999	Black	Female	75-84 years	23652
Alabama	01	1999	Black	Female	85+ years	10680
Alabama	01	1999	Black	Male	< 1 year	9419
Alabama	01	1999	Black	Male	1-4 years	38520
Alabama	01	1999	Black	Male	5-9 years	53485
Alabama	01	1999	Black	Male	10-14 years	52510
Alabama	01	1999	Black	Male	15-19 years	53756
Alabama	01	1999	Black	Male	20-24 years	44094
Alabama	01	1999	Black	Male	25-34 years	73316
Alabama	01	1999	Black	Male	35-44 years	79364
Alabama	01	1999	Black	Male	45-54 years	60978
Alabama	01	1999	Black	Male	55-64 years	33473
Alabama	01	1999	Black	Male	65-74 years	23624
Alabama	01	1999	Black	Male	75-84 years	12493
Alabama	01	1999	Black	Male	85+ years	4166
Alabama	01	1999	White	Female	< 1 year	19211
Alabama	01	1999	White	Female	1-4 years	76078
Alabama	01	1999	White	Female	5-9 years	100094
Alabama	01	1999	White	Female	10-14 years	101495
Alabama	01	1999	White	Female	15-19 years	104385
Alabama	01	1999	White	Female	20-24 years	101883
Alabama	01	1999	White	Female	25-34 years	215681
Alabama	01	1999	White	Female	35-44 years	249564
Alabama	01	1999	White	Female	45-54 years	224926
Alabama	01	1999	White	Female	55-64 years	171646
Alabama	01	1999	White	Female	65-74 years	140248
Alabama	01	1999	White	Female	75-84 years	97953
Alabama	01	1999	White	Female	85+ years	37501
Alabama	01	1999	White	Male	< 1 year	20315
Alabama	01	1999	White	Male	1-4 years	80344
Alabama	01	1999	White	Male	5-9 years	106363
Alabama	01	1999	White	Male	10-14 years	108381
Alabama	01	1999	White	Male	15-19 years	109772
Alabama	01	1999	White	Male	20-24 years	104773
Alabama	01	1999	White	Male	25-34 years	221625
Alabama	01	1999	White	Male	35-44 years	251701
Alabama	01	1999	White	Male	45-54 years	220012
Alabama	01	1999	White	Male	55-64 years	158860
Alabama	01	1999	White	Male	65-74 years	114849
Alabama	01	1999	White	Male	75-84 years	60147
Alabama	01	1999	White	Male	85+ years	13501
Alabama	01	2000	Black	Female	< 1 year	9334
Alabama	01	2000	Black	Female	1-4 years	37494
Alabama	01	2000	Black	Female	10-14 years	51141
Alabama	01	2000	Black	Female	15-19 years	53874
Alabama	01	2000	Black	Female	20-24 years	50761
Alabama	01	2000	Black	Female	25-34 years	87335
Alabama	01	2000	Black	Female	35-44 years	96129
Alabama	01	2000	Black	Female	45-54 years	75234
Alabama	01	2000	Black	Female	55-64 years	43258
Alabama	01	2000	Black	Female	65-74 years	35512
Alabama	01	2000	Black	Female	75-84 years	23364
Alabama	01	2000	Black	Female	85+ years	10858
Alabama	01	2000	Black	Male	< 1 year	9550
Alabama	01	2000	Black	Male	1-4 years	38353
Alabama	01	2000	Black	Male	5-9 years	53198
Alabama	01	2000	Black	Male	10-14 years	53076
