State	State Code	Year	Race	Gender	Age Group	Population
Alabama	01	1968	Black	Female	< 1 year	10680
Alabama	01	1968	Black	Female	1-4 years	40900
Alabama	01	1968	Black	Female	5-9 years	57242
Alabama	01	1968	Black	Female	10-14 years	60317
Alabama	01	1968	Black	Female	15-19 years	53323
Alabama	01	1968	Black	Female	20-24 years	30063
Alabama	01	1968	Black	Female	25-34 years	44437
Alabama	01	1968	Black	Female	35-44 years	48659
Alabama	01	1968	Black	Female	45-54 years	45080
Alabama	01	1968	Black	Female	55-64 years	41846
Alabama	01	1968	Black	Female	65-74 years	31084
Alabama	01	1968	Black	Female	75-84 years	13087
Alabama	01	1968	Black	Female	85+ years	3690
Alabama	01	1968	Black	Male	< 1 year	10802
Alabama	01	1968	Black	Male	1-4 years	41329
Alabama	01	1968	Black	Male	5-9 years	57448
Alabama	01	1968	Black	Male	10-14 years	60667
Alabama	01	1968	Black	Male	15-19 years	50550
Alabama	01	1968	Black	Male	20-24 years	25557
Alabama	01	1968	Black	Male	25-34 years	34977
Alabama	01	1968	Black	Male	35-44 years	35839
Alabama	01	1968	Black	Male	45-54 years	36421
Alabama	01	1968	Black	Male	55-64 years	35316
Alabama	01	1968	Black	Male	65-74 years	23608
Alabama	01	1968	Black	Male	75-84 years	9438
Alabama	01	1968	Black	Male	85+ years	2306
Alabama	01	1968	Other	Female	25-34 years	441
Alabama	01	1968	Other	Male	35-44 years	199
Alabama	01	1968	Other	Male	55-64 years	131
Alabama	01	1968	Other	Male	75-84 years	72
Alabama	01	1968	White	Female	< 1 year	20102
Alabama	01	1968	White	Female	1-4 years	83357
Alabama	01	1968	White	Female	5-9 years	116759
Alabama	01	1968	White	Female	10-14 years	119664
Alabama	01	1968	White	Female	15-19 years	110372
Alabama	01	1968	White	Female	20-24 years	101109
Alabama	01	1968	White	Female	25-34 years	159571
Alabama	01	1968	White	Female	35-44 years	156867
Alabama	01	1968	White	Female	45-54 years	145304
Alabama	01	1968	White	Female	55-64 years	124689
Alabama	01	1968	White	Female	65-74 years	80720
Alabama	01	1968	White	Female	75-84 years	41046
Alabama	01	1968	White	Female	85+ years	9123
Alabama	01	1968	White	Male	< 1 year	21926
Alabama	01	1968	White	Male	1-4 years	87843
Alabama	01	1968	White	Male	5-9 years	122098
Alabama	01	1968	White	Male	10-14 years	126077
Alabama	01	1968	White	Male	15-19 years	113381
Alabama	01	1968	White	Male	20-24 years	95824
Alabama	01	1968	White	Male	25-34 years	153989
Alabama	01	1968	White	Male	35-44 years	148797
Alabama	01	1968	White	Male	45-54 years	137379
Alabama	01	1968	White	Male	55-64 years	110443
Alabama	01	1968	White	Male	65-74 years	61983
